n	theta	NLOO2D(0.3)	NLOO2D(0.5)
1	31.34	 222.951	 278.720
2	29.83	 208.825	 246.632
3	28.33	 203.348	 241.483
4	26.83	 194.348	 230.168
5	25.32	 198.136	 227.952
6	23.82	 193.612	 224.796
7	22.31	 188.183	 221.768
8	20.81	 185.898	 221.011
9	19.30	 186.081	 220.510
10	17.80	 182.836	 214.475
11	16.29	 183.792	 213.713
12	14.79	 182.247	 211.189
13	13.28	 178.861	 208.439
14	11.77	 178.223	 204.291
15	10.27	 178.429	 207.176
16	 8.76	 176.729	 204.649
17	 7.25	 171.171	 201.417
18	 5.74	 168.528	 196.911
19	 4.23	 163.570	 193.099
20	 2.72	 161.885	 185.391
21	 1.21	 155.622	 188.121
22	-0.28	 153.322	 191.005
23	-1.77	 161.988	 192.402
24	-3.26	 164.322	 193.143
25	-4.75	 170.617	 200.093
26	-6.24	 168.826	 202.165
27	-7.75	 172.570	 203.371
28	-9.26	 173.649	 203.114
29	-10.76	 175.010	 205.693
30	-12.27	 175.330	 207.788
31	-13.78	 180.613	 208.869
32	-15.28	 181.381	 210.729
33	-16.79	 182.927	 214.316
34	-18.29	 183.544	 215.920
35	-19.79	 186.594	 217.614
36	-21.30	 187.269	 219.967
37	-22.80	 190.599	 221.995
38	-24.31	 193.179	 228.130
39	-25.82	 197.446	 232.704
40	-27.33	 202.219	 240.406
41	-28.84	 213.672	 266.616
