Projection # 1 - Tilt angle: 30.13
Radius	s(1/A)	Res(A)	NLOO2D
0	0.00000	1001232.062	  1.0000
1	0.00001	100123.203	  1.0000
2	0.00002	50061.602	  0.9981
3	0.00003	33374.402	  0.9977
4	0.00004	25030.801	  0.9971
5	0.00005	20024.641	  0.9986
6	0.00006	16687.201	  0.9984
7	0.00007	14303.315	  0.9981
8	0.00008	12515.400	  0.9978
9	0.00009	11124.801	  0.9961
10	0.00010	10012.320	  0.9951
11	0.00011	 9102.109	  0.9956
12	0.00012	 8343.601	  0.9944
13	0.00013	 7701.785	  0.9914
14	0.00014	 7151.658	  0.9906
15	0.00015	 6674.880	  0.9911
16	0.00016	 6257.700	  0.9922
17	0.00017	 5889.600	  0.9898
18	0.00018	 5562.400	  0.9893
19	0.00019	 5269.642	  0.9907
20	0.00020	 5006.160	  0.9908
21	0.00021	 4767.771	  0.9911
22	0.00022	 4551.055	  0.9912
23	0.00023	 4353.183	  0.9910
24	0.00024	 4171.800	  0.9876
25	0.00025	 4004.928	  0.9864
26	0.00026	 3850.893	  0.9862
27	0.00027	 3708.267	  0.9854
28	0.00028	 3575.829	  0.9851
29	0.00029	 3452.524	  0.9849
30	0.00030	 3337.440	  0.9825
31	0.00031	 3229.781	  0.9777
32	0.00032	 3128.850	  0.9797
33	0.00033	 3034.037	  0.9801
34	0.00034	 2944.800	  0.9778
35	0.00035	 2860.663	  0.9749
36	0.00036	 2781.200	  0.9713
37	0.00037	 2706.032	  0.9682
38	0.00038	 2634.821	  0.9704
39	0.00039	 2567.261	  0.9746
40	0.00040	 2503.080	  0.9735
41	0.00041	 2442.029	  0.9687
42	0.00042	 2383.886	  0.9653
43	0.00043	 2328.447	  0.9702
44	0.00044	 2275.527	  0.9707
45	0.00045	 2224.960	  0.9686
46	0.00046	 2176.591	  0.9705
47	0.00047	 2130.281	  0.9710
48	0.00048	 2085.900	  0.9677
49	0.00049	 2043.331	  0.9649
50	0.00050	 2002.464	  0.9686
51	0.00051	 1963.200	  0.9665
52	0.00052	 1925.446	  0.9650
53	0.00053	 1889.117	  0.9673
54	0.00054	 1854.133	  0.9610
55	0.00055	 1820.422	  0.9578
56	0.00056	 1787.914	  0.9612
57	0.00057	 1756.547	  0.9552
58	0.00058	 1726.262	  0.9473
59	0.00059	 1697.003	  0.9512
60	0.00060	 1668.720	  0.9512
61	0.00061	 1641.364	  0.9466
62	0.00062	 1614.890	  0.9486
63	0.00063	 1589.257	  0.9419
64	0.00064	 1564.425	  0.9423
65	0.00065	 1540.357	  0.9508
66	0.00066	 1517.018	  0.9425
67	0.00067	 1494.376	  0.9385
68	0.00068	 1472.400	  0.9432
69	0.00069	 1451.061	  0.9411
70	0.00070	 1430.332	  0.9395
71	0.00071	 1410.186	  0.9410
72	0.00072	 1390.600	  0.9411
73	0.00073	 1371.551	  0.9406
74	0.00074	 1353.016	  0.9373
75	0.00075	 1334.976	  0.9302
76	0.00076	 1317.411	  0.9335
77	0.00077	 1300.301	  0.9361
78	0.00078	 1283.631	  0.9306
79	0.00079	 1267.382	  0.9309
80	0.00080	 1251.540	  0.9290
81	0.00081	 1236.089	  0.9280
82	0.00082	 1221.015	  0.9302
83	0.00083	 1206.304	  0.9248
84	0.00084	 1191.943	  0.9217
85	0.00085	 1177.920	  0.9289
86	0.00086	 1164.223	  0.9247
87	0.00087	 1150.841	  0.9153
88	0.00088	 1137.764	  0.9109
89	0.00089	 1124.980	  0.9074
90	0.00090	 1112.480	  0.9171
91	0.00091	 1100.255	  0.9236
92	0.00092	 1088.296	  0.9315
93	0.00093	 1076.594	  0.9314
94	0.00094	 1065.141	  0.9141
95	0.00095	 1053.928	  0.9095
96	0.00096	 1042.950	  0.9134
97	0.00097	 1032.198	  0.9098
98	0.00098	 1021.665	  0.9103
99	0.00099	 1011.345	  0.9094
100	0.00100	 1001.232	  0.9109
101	0.00101	  991.319	  0.9147
102	0.00102	  981.600	  0.9146
103	0.00103	  972.070	  0.9001
104	0.00104	  962.723	  0.8877
105	0.00105	  953.554	  0.8941
106	0.00106	  944.559	  0.8991
107	0.00107	  935.731	  0.9083
108	0.00108	  927.067	  0.9052
109	0.00109	  918.562	  0.9028
110	0.00110	  910.211	  0.9096
111	0.00111	  902.011	  0.9066
112	0.00112	  893.957	  0.8963
113	0.00113	  886.046	  0.8894
114	0.00114	  878.274	  0.8991
115	0.00115	  870.637	  0.9034
116	0.00116	  863.131	  0.8978
117	0.00117	  855.754	  0.8944
118	0.00118	  848.502	  0.8892
119	0.00119	  841.371	  0.8846
120	0.00120	  834.360	  0.8811
121	0.00121	  827.464	  0.8856
122	0.00122	  820.682	  0.8923
123	0.00123	  814.010	  0.8878
124	0.00124	  807.445	  0.8797
125	0.00125	  800.986	  0.8758
126	0.00126	  794.629	  0.8870
127	0.00127	  788.372	  0.8878
128	0.00128	  782.213	  0.8736
129	0.00129	  776.149	  0.8750
130	0.00130	  770.178	  0.8748
131	0.00131	  764.299	  0.8672
132	0.00132	  758.509	  0.8660
133	0.00133	  752.806	  0.8715
134	0.00134	  747.188	  0.8772
135	0.00135	  741.653	  0.8771
136	0.00136	  736.200	  0.8717
137	0.00137	  730.826	  0.8662
138	0.00138	  725.530	  0.8670
139	0.00139	  720.311	  0.8678
140	0.00140	  715.166	  0.8594
141	0.00141	  710.094	  0.8520
142	0.00142	  705.093	  0.8594
