n	theta	NLOO2D(0.3)	NLOO2D(0.5)
1	30.13	 298.292	 381.177
2	28.63	 269.719	 332.027
3	27.13	 258.595	 314.741
4	25.62	 253.020	 306.773
5	24.12	 249.363	 305.311
6	22.61	 241.376	 293.508
7	21.10	 237.119	 294.456
8	19.59	 234.598	 288.056
9	18.09	 231.714	 285.937
10	16.58	 226.419	 275.806
11	15.07	 226.700	 270.119
12	13.57	 220.170	 270.053
13	12.06	 212.282	 262.671
14	10.56	 209.468	 265.564
15	 9.06	 204.697	 254.952
16	 7.55	 195.076	 250.875
17	 6.04	 188.895	 244.706
18	 4.53	 191.035	 243.834
19	 3.02	 188.603	 244.172
20	 1.51	 196.621	 241.592
21	 0.00	 195.516	 244.342
22	-1.48	 194.975	 235.392
23	-2.96	 188.995	 244.823
24	-4.44	 191.695	 244.123
25	-5.91	 193.225	 244.574
26	-7.39	 199.963	 251.784
27	-8.90	 202.052	 258.574
28	-10.40	 208.163	 261.234
29	-11.90	 208.139	 260.725
30	-13.41	 220.632	 270.295
31	-14.91	 218.039	 277.337
32	-16.41	 223.165	 278.855
33	-17.91	 227.632	 283.373
34	-19.41	 230.150	 283.625
35	-20.91	 240.377	 292.192
36	-22.41	 236.114	 298.894
37	-23.91	 245.241	 297.931
38	-25.41	 249.964	 312.580
39	-26.92	 255.378	 308.997
40	-28.42	 258.646	 331.246
41	-29.92	 287.544	 377.461
